iteration,bestCost
884,5.09697e+07
885,5.09506e+07
886,5.09332e+07
887,5.09151e+07
888,5.08981e+07
889,5.08784e+07
890,5.08587e+07
891,5.08393e+07
892,5.08218e+07
893,5.08027e+07
894,5.07818e+07
895,5.07627e+07
896,5.07455e+07
897,5.0727e+07
898,5.07086e+07
899,5.06885e+07
900,5.06692e+07
901,5.06531e+07
902,5.06348e+07
903,5.06155e+07
904,5.05956e+07
905,5.05766e+07
906,5.05582e+07
907,5.05394e+07
908,5.05188e+07
909,5.05e+07
910,5.0481e+07
911,5.04624e+07
912,5.04434e+07
913,5.04221e+07
914,5.04014e+07
915,5.0381e+07
916,5.03627e+07
917,5.03445e+07
918,5.03232e+07
919,5.03049e+07
920,5.02869e+07
921,5.02665e+07
922,5.02492e+07
923,5.0233e+07
924,5.02141e+07
925,5.01965e+07
926,5.01766e+07
927,5.01588e+07
928,5.01388e+07
929,5.01167e+07
930,5.00975e+07
931,5.00783e+07
932,5.0059e+07
933,5.00361e+07
934,5.00179e+07
935,5.00002e+07
936,4.9984e+07
937,4.99632e+07
938,4.99446e+07
939,4.99256e+07
940,4.99066e+07
941,4.98858e+07
942,4.98687e+07
943,4.98491e+07
944,4.98319e+07
945,4.98087e+07
946,4.97895e+07
947,4.97728e+07
948,4.97514e+07
949,4.97315e+07
950,4.97133e+07
951,4.96942e+07
952,4.9676e+07
953,4.96583e+07
954,4.96408e+07
955,4.96223e+07
956,4.96058e+07
957,4.95848e+07
958,4.95671e+07
959,4.9548e+07
960,4.95297e+07
961,4.95107e+07
962,4.94943e+07
963,4.94773e+07
964,4.94592e+07
965,4.94393e+07
966,4.94206e+07
967,4.93999e+07
968,4.93802e+07
969,4.93626e+07
970,4.93461e+07
971,4.93275e+07
972,4.93102e+07
973,4.92912e+07
974,4.92736e+07
975,4.9251e+07
976,4.92332e+07
977,4.92145e+07
978,4.91982e+07
979,4.91802e+07
980,4.91629e+07
981,4.9143e+07
982,4.91248e+07
983,4.91045e+07
984,4.90856e+07
985,4.90674e+07
986,4.90509e+07
987,4.90326e+07
988,4.90145e+07
989,4.8998e+07
990,4.89782e+07
991,4.89613e+07
992,4.89427e+07
993,4.89243e+07
994,4.89068e+07
995,4.88903e+07
996,4.88725e+07
997,4.88538e+07
998,4.88337e+07
999,4.88145e+07
1000,4.87977e+07
1001,4.87774e+07
1002,4.87582e+07
1003,4.87387e+07
1004,4.87209e+07
1005,4.87029e+07
1006,4.86837e+07
1007,4.86667e+07
1008,4.86493e+07
1009,4.86306e+07
1010,4.86131e+07
1011,4.85968e+07
1012,4.85757e+07
1013,4.85586e+07
1014,4.85394e+07
1015,4.85197e+07
1016,4.85019e+07
1017,4.84822e+07
1018,4.84644e+07
1019,4.84457e+07
1020,4.84284e+07
1021,4.84109e+07
1022,4.83905e+07
1023,4.83711e+07
1024,4.83514e+07
1025,4.83333e+07
1026,4.83118e+07
1027,4.82958e+07
1028,4.8277e+07
1029,4.82596e+07
1030,4.82402e+07
1031,4.82212e+07
1032,4.82025e+07
1033,4.81842e+07
1034,4.81654e+07
1035,4.81458e+07
1036,4.81282e+07
1037,4.81117e+07
1038,4.80939e+07
1039,4.80747e+07
1040,4.80576e+07
1041,4.8038e+07
1042,4.80191e+07
1043,4.80017e+07
1044,4.79847e+07
1045,4.79678e+07
1046,4.79497e+07
1047,4.79316e+07
1048,4.79141e+07
1049,4.78977e+07
1050,4.78789e+07
1051,4.78572e+07
1052,4.78403e+07
1053,4.78239e+07
1054,4.78062e+07
1055,4.77875e+07
1056,4.7771e+07
1057,4.77542e+07
1058,4.77361e+07
1059,4.77181e+07
1060,4.7699e+07
1061,4.7681e+07
1062,4.76638e+07
1063,4.76445e+07
1064,4.76279e+07
1065,4.76086e+07
1066,4.75934e+07
1067,4.75748e+07
1068,4.75547e+07
1069,4.75359e+07
1070,4.75161e+07
1071,4.74996e+07
1072,4.74829e+07
1073,4.74628e+07
1074,4.7444e+07
1075,4.7428e+07
1076,4.74128e+07
1077,4.73943e+07
1078,4.73757e+07
1079,4.73589e+07
1080,4.73399e+07
1081,4.73249e+07
1082,4.73029e+07
1083,4.72855e+07
1084,4.72672e+07
1085,4.72467e+07
1086,4.72275e+07
1087,4.72112e+07
1088,4.71924e+07
1089,4.71758e+07
1090,4.71593e+07
1091,4.71413e+07
1092,4.71243e+07
1093,4.7107e+07
1094,4.709e+07
1095,4.70684e+07
1096,4.70496e+07
1097,4.70323e+07
1098,4.70164e+07
1099,4.70003e+07
1100,4.69798e+07
1101,4.69617e+07
1102,4.69452e+07
1103,4.69282e+07
1104,4.69119e+07
1105,4.68938e+07
1106,4.68763e+07
1107,4.68586e+07
1108,4.68389e+07
1109,4.68175e+07
1110,4.67976e+07
1111,4.67798e+07
1112,4.67614e+07
1113,4.67433e+07
1114,4.67274e+07
1115,4.67108e+07
1116,4.66914e+07
1117,4.66729e+07
1118,4.66533e+07
1119,4.66383e+07
1120,4.66203e+07
1121,4.66027e+07
1122,4.65869e+07
1123,4.65677e+07
1124,4.65507e+07
1125,4.65341e+07
1126,4.65165e+07
1127,4.64965e+07
1128,4.64802e+07
1129,4.64626e+07
1130,4.64441e+07
1131,4.64258e+07
1132,4.64091e+07
1133,4.63903e+07
1134,4.63741e+07
1135,4.63571e+07
1136,4.63417e+07
1137,4.6324e+07
1138,4.63082e+07
1139,4.62896e+07
1140,4.62733e+07
1141,4.62566e+07
1142,4.62394e+07
1143,4.62234e+07
1144,4.62046e+07
1145,4.61869e+07
1146,4.61722e+07
1147,4.61565e+07
1148,4.61409e+07
1149,4.61237e+07
1150,4.61066e+07
1151,4.60877e+07
1152,4.60711e+07
1153,4.60559e+07
1154,4.60355e+07
1155,4.60189e+07
1156,4.60002e+07
1157,4.59828e+07
1158,4.59669e+07
1159,4.5949e+07
1160,4.59307e+07
1161,4.59126e+07
1162,4.5894e+07
1163,4.5876e+07
1164,4.58574e+07
1165,4.58398e+07
1166,4.58181e+07
1167,4.5802e+07
1168,4.57868e+07
1169,4.57707e+07
1170,4.57523e+07
1171,4.57369e+07
1172,4.57172e+07
1173,4.57015e+07
1174,4.56855e+07
1175,4.56684e+07
1176,4.56518e+07
1177,4.56335e+07
1178,4.56159e+07
1179,4.56007e+07
1180,4.55852e+07
1181,4.55669e+07
1182,4.55505e+07
1183,4.55315e+07
1184,4.55152e+07
1185,4.54988e+07
1186,4.54801e+07
1187,4.54605e+07
1188,4.54431e+07
1189,4.54243e+07
1190,4.54074e+07
1191,4.53906e+07
1192,4.53739e+07
1193,4.53586e+07
1194,4.53406e+07
1195,4.53235e+07
1196,4.53076e+07
1197,4.52903e+07
1198,4.52734e+07
1199,4.52583e+07
1200,4.52415e+07
1201,4.52237e+07
1202,4.52047e+07
1203,4.51886e+07
1204,4.51725e+07
1205,4.51556e+07
1206,4.51383e+07
1207,4.51214e+07
1208,4.51053e+07
1209,4.50875e+07
1210,4.50689e+07
1211,4.50467e+07
1212,4.50301e+07
1213,4.50133e+07
1214,4.49973e+07
1215,4.49803e+07
1216,4.49637e+07
1217,4.49477e+07
1218,4.49277e+07
1219,4.49105e+07
1220,4.48943e+07
1221,4.48778e+07
1222,4.48602e+07
1223,4.48448e+07
1224,4.48282e+07
1225,4.48111e+07
1226,4.47946e+07
1227,4.47795e+07
1228,4.47629e+07
1229,4.47474e+07
1230,4.4733e+07
1231,4.47171e+07
1232,4.46997e+07
1233,4.46843e+07
1234,4.46658e+07
1235,4.46494e+07
1236,4.46284e+07
1237,4.46138e+07
1238,4.45959e+07
1239,4.45784e+07
1240,4.45626e+07
1241,4.45443e+07
1242,4.45274e+07
1243,4.45109e+07
1244,4.44955e+07
1245,4.44785e+07
1246,4.44643e+07
1247,4.44449e+07
1248,4.4428e+07
1249,4.44142e+07
1250,4.43976e+07
1251,4.43807e+07
1252,4.43651e+07
1253,4.43467e+07
1254,4.43289e+07
1255,4.43133e+07
1256,4.42982e+07
1257,4.42813e+07
1258,4.4265e+07
1259,4.42488e+07
1260,4.42322e+07
1261,4.42137e+07
1262,4.41973e+07
1263,4.41817e+07
1264,4.41643e+07
1265,4.41479e+07
1266,4.41299e+07
1267,4.41119e+07
1268,4.40942e+07
1269,4.40804e+07
1270,4.40628e+07
1271,4.40474e+07
1272,4.40297e+07
1273,4.40141e+07
1274,4.39968e+07
1275,4.39777e+07
1276,4.39636e+07
1277,4.39479e+07
1278,4.39295e+07
1279,4.3911e+07
1280,4.38955e+07
1281,4.38805e+07
1282,4.38641e+07
1283,4.38481e+07
